Bases loaded: CBASE=e660, FBASE=ee60, BBASE=fc60, DPBASE=fd04
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0006
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0006
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0006
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0007, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0007, DE=0000 SP=eeef HL=0007
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0007
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0007
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0007
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0008, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0008, DE=0000 SP=eeef HL=0008
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0008
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0008
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0008
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0009, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0009, DE=0000 SP=eeef HL=0009
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=0009
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=ff46, DE=0000 SP=eeed HL=0009
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=0080, DE=0000 SP=eeef HL=0009
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=000a, DE=0000 SP=eeed HL=0000
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=000a, DE=0000 SP=eeef HL=000a
Port write 0c (set dma), value (00) PC=fcf2, AF=0044, BC=ff46, DE=0000 SP=eeef HL=000a
