Bases loaded: CBASE=e660, FBASE=ee60, BBASE=fc60, DPBASE=fd04
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0013, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0013, DE=0000 SP=eef5 HL=0013
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=0013, DE=0000 SP=eef3 HL=0013
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (00) PC=fcf2, AF=00a8, BC=0700, DE=0700 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0014, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0014, DE=0000 SP=eef5 HL=0014
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=0014, DE=0000 SP=eef3 HL=0014
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (80) PC=fcf2, AF=80a8, BC=0780, DE=0780 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0015, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0015, DE=0000 SP=eef5 HL=0015
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=0015, DE=0000 SP=eef3 HL=0015
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (00) PC=fcf2, AF=00a8, BC=0800, DE=0800 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0016, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0016, DE=0000 SP=eef5 HL=0016
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=0016, DE=0000 SP=eef3 HL=0016
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (80) PC=fcf2, AF=80a8, BC=0880, DE=0880 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0017, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0017, DE=0000 SP=eef5 HL=0017
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=0017, DE=0000 SP=eef3 HL=0017
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (00) PC=fcf2, AF=00a8, BC=0900, DE=0900 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0018, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0018, DE=0000 SP=eef5 HL=0018
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=0018, DE=0000 SP=eef3 HL=0018
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (80) PC=fcf2, AF=80a8, BC=0980, DE=0980 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0019, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0019, DE=0000 SP=eef5 HL=0019
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=0019, DE=0000 SP=eef3 HL=0019
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (00) PC=fcf2, AF=00a8, BC=0a00, DE=0a00 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001a, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001a, DE=0000 SP=eef5 HL=001a
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=001a, DE=0000 SP=eef3 HL=001a
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (80) PC=fcf2, AF=80a8, BC=0a80, DE=0a80 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001b, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001b, DE=0000 SP=eef5 HL=001b
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=001b, DE=0000 SP=eef3 HL=001b
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (00) PC=fcf2, AF=00a8, BC=0b00, DE=0b00 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001c, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001c, DE=0000 SP=eef5 HL=001c
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=001c, DE=0000 SP=eef3 HL=001c
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (80) PC=fcf2, AF=80a8, BC=0b80, DE=0b80 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001d, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001d, DE=0000 SP=eef5 HL=001d
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=001d, DE=0000 SP=eef3 HL=001d
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (00) PC=fcf2, AF=00a8, BC=0c00, DE=0c00 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001e, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001e, DE=0000 SP=eef5 HL=001e
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=001e, DE=0000 SP=eef3 HL=001e
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (80) PC=fcf2, AF=80a8, BC=0c80, DE=0c80 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=001f, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=001f, DE=0000 SP=eef5 HL=001f
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=001f, DE=0000 SP=eef3 HL=001f
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (00) PC=fcf2, AF=00a8, BC=0d00, DE=0d00 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0007, DE=0007 SP=eef1 HL=0007
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0020, DE=0000 SP=eef3 HL=0007
Port write 0b (set sector), value (00) PC=fcee, AF=0044, BC=0020, DE=0000 SP=eef5 HL=0020
Port write 0d (read block), value (00) PC=fcf6, AF=0044, BC=0020, DE=0000 SP=eef3 HL=0020
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 0c (set dma), value (80) PC=fcf2, AF=80a8, BC=0d80, DE=0d80 SP=eef7 HL=f693
Port write 09 (select disk), value (00) PC=fce6, AF=0093, BC=0000, DE=0005 SP=eeeb HL=ee8b
Port write 09 (select disk), value (02) PC=fce6, AF=0202, BC=0002, DE=0001 SP=eef3 HL=ee8b
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=000d, DE=000d SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=000d, DE=000d SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=000a, DE=000a SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=000a, DE=000a SP=eeed HL=f0c4
Port write 0c (set dma), value (80) PC=fcf2, AF=80a8, BC=0080, DE=0080 SP=eef7 HL=f693
Port write 09 (select disk), value (7b) PC=fce6, AF=7b28, BC=0002, DE=0002 SP=0f7d HL=fc7b
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0044, DE=0044 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0044, DE=0044 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0072, DE=0072 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0072, DE=0072 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0069, DE=0069 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0069, DE=0069 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0076, DE=0076 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0076, DE=0076 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0065, DE=0065 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0065, DE=0065 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0043, DE=0043 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0043, DE=0043 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=003a, DE=003a SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=003a, DE=003a SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=000d, DE=000d SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=000d, DE=000d SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=000a, DE=000a SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=000a, DE=000a SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0053, DE=0053 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0053, DE=0053 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0065, DE=0065 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0065, DE=0065 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0063, DE=0063 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0063, DE=0063 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0074, DE=0074 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0074, DE=0074 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=006f, DE=006f SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=006f, DE=006f SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0072, DE=0072 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0072, DE=0072 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0073, DE=0073 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0073, DE=0073 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0070, DE=0070 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0070, DE=0070 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0065, DE=0065 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0065, DE=0065 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0072, DE=0072 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0072, DE=0072 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0074, DE=0074 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0074, DE=0074 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0072, DE=0072 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0072, DE=0072 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0061, DE=0061 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0061, DE=0061 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0063, DE=0063 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0063, DE=0063 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=006b, DE=006b SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=006b, DE=006b SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=003a, DE=003a SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=003a, DE=003a SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0031, DE=0031 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0031, DE=0031 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0030, DE=0030 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0030, DE=0030 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0032, DE=0032 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0032, DE=0032 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0034, DE=0034 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0034, DE=0034 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=000d, DE=000d SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=000d, DE=000d SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=000a, DE=000a SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=000a, DE=000a SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=004e, DE=004e SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=004e, DE=004e SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0075, DE=0075 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0075, DE=0075 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=006d, DE=006d SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=006d, DE=006d SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0062, DE=0062 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0062, DE=0062 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0065, DE=0065 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0065, DE=0065 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0072, DE=0072 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0072, DE=0072 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=006f, DE=006f SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=006f, DE=006f SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0066, DE=0066 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0066, DE=0066 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0072, DE=0072 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0072, DE=0072 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0065, DE=0065 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0065, DE=0065 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0073, DE=0073 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0073, DE=0073 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0065, DE=0065 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0065, DE=0065 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0072, DE=0072 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0072, DE=0072 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0076, DE=0076 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0076, DE=0076 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0065, DE=0065 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0065, DE=0065 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0064, DE=0064 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0064, DE=0064 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0074, DE=0074 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0074, DE=0074 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0072, DE=0072 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0072, DE=0072 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0061, DE=0061 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0061, DE=0061 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0063, DE=0063 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0063, DE=0063 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=006b, DE=006b SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=006b, DE=006b SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0073, DE=0073 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0073, DE=0073 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=003a, DE=003a SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=003a, DE=003a SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0020, DE=0020 SP=eee9 HL=f0c4
Port write 04 (console output), value (00) PC=fcd2, AF=0054, BC=0020, DE=0020 SP=eeed HL=f0c4
Port write 02 (console status), value (01) PC=fcca, AF=0144, BC=0030, DE=0030 SP=eee9 HL=f0c4
